[INFO] Processing dataset: HEW10_tax_mass
Processing with K = 10, node selection: random
[SweepBackbone] ratioTrain=0.60 | BackboneRatio=0.50 | inverse_backbone=0
[DivideNet] BACKBONE mode ON. ratioTrain=0.600, ratioBackbone=0.500
[DivideNet] BACKBONE mode (STANDARD). ratioTrain=0.600, ratioBackbone=0.500 (interpreted as backboneTrainFrac)
[DivideNet] STANDARD backbone: backboneTrainFrac=0.50 → target backbone TRAIN edges = 104 of 207
[DivideNet] TRAIN total: 516 (requested 516)
[DivideNet]  ├─ backbone in TRAIN: 104 (target 104 of 207)
[DivideNet]  └─ non-backbone in TRAIN: 412 of 654
[DivideNet] TEST total: 345
[Warning: [sample_neg] Pool 50 < need 1722 with role filter.
Disabling role filter.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('sample_neg_dir_neg', '/Users/jorge/Developer/qmul-phd-framework/src/matlab/wlnm_version_runners/wlnm_dir_neg/sample_neg_dir_neg.m', 88)" style="font-weight:bold">sample_neg_dir_neg</a> (<a href="matlab: opentoline('/Users/jorge/Developer/qmul-phd-framework/src/matlab/wlnm_version_runners/wlnm_dir_neg/sample_neg_dir_neg.m',88,0)">line 88</a>)
In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('WLNM_dir_neg', '/Users/jorge/Developer/qmul-phd-framework/src/matlab/wlnm_version_runners/wlnm_dir_neg/WLNM_dir_neg.m', 41)" style="font-weight:bold">WLNM_dir_neg</a> (<a href="matlab: opentoline('/Users/jorge/Developer/qmul-phd-framework/src/matlab/wlnm_version_runners/wlnm_dir_neg/WLNM_dir_neg.m',41,0)">line 41</a>)
In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('run_wlnm_dir_neg', '/Users/jorge/Developer/qmul-phd-framework/src/matlab/wlnm_version_runners/wlnm_dir_neg/run_wlnm_dir_neg.m', 168)" style="font-weight:bold">run_wlnm_dir_neg</a> (<a href="matlab: opentoline('/Users/jorge/Developer/qmul-phd-framework/src/matlab/wlnm_version_runners/wlnm_dir_neg/run_wlnm_dir_neg.m',168,0)">line 168</a>)
In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('Main', '/Users/jorge/Developer/qmul-phd-framework/src/matlab/Main.m', 229)" style="font-weight:bold">Main</a> (<a href="matlab: opentoline('/Users/jorge/Developer/qmul-phd-framework/src/matlab/Main.m',229,0)">line 229</a>)] 
[NegPool] pool=7329 need_total=1722 a=2 eval_all=1 role_filter=1 | k_train=1032 k_test=6297
[sample_neg] Final link counts (use_role_filter = 1):
    Train Positive: 516
    Train Negative: 1032
    Test  Positive: 345
    Test  Negative: 6297
Encoding 1548 subgraphs (K = 10)...
Progress: 10% - Elapsed: 0.2s
Progress: 20% - Elapsed: 0.3s
Progress: 30% - Elapsed: 0.5s
Progress: 40% - Elapsed: 0.6s
Progress: 50% - Elapsed: 0.8s
Progress: 60% - Elapsed: 1.0s
Progress: 70% - Elapsed: 1.1s
Progress: 80% - Elapsed: 1.3s
Progress: 90% - Elapsed: 1.4s
Progress: 99% - Elapsed: 1.6s
Done. Total time: 1.6s
Encoding 6642 subgraphs (K = 10)...
Progress: 10% - Elapsed: 0.7s
Progress: 20% - Elapsed: 1.3s
Progress: 30% - Elapsed: 2.0s
Progress: 40% - Elapsed: 2.7s
Progress: 50% - Elapsed: 3.3s
Progress: 60% - Elapsed: 4.0s
Progress: 70% - Elapsed: 4.7s
Progress: 80% - Elapsed: 5.3s
Progress: 90% - Elapsed: 6.0s
Progress: 100% - Elapsed: 6.7s
Done. Total time: 6.7s
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|========================================================================================|
|       1 |           1 |       00:00:00 |       63.28% |       0.6859 |          0.1000 |
|       5 |          50 |       00:00:00 |       85.16% |       0.2957 |          0.1000 |
|       9 |         100 |       00:00:00 |       85.16% |       0.3077 |          0.1000 |
|      13 |         150 |       00:00:00 |       93.75% |       0.2017 |          0.0900 |
|      17 |         200 |       00:00:00 |       90.62% |       0.1866 |          0.0900 |
|      21 |         250 |       00:00:00 |       87.50% |       0.2501 |          0.0810 |
|      25 |         300 |       00:00:00 |       95.31% |       0.1829 |          0.0810 |
|      30 |         350 |       00:00:00 |       93.75% |       0.1385 |          0.0810 |
|      34 |         400 |       00:00:00 |       94.53% |       0.1257 |          0.0729 |
|      38 |         450 |       00:00:00 |       96.88% |       0.1048 |          0.0729 |
|      42 |         500 |       00:00:00 |       91.41% |       0.1977 |          0.0656 |
|      46 |         550 |       00:00:00 |       82.03% |       0.3176 |          0.0656 |
|      50 |         600 |       00:00:00 |       96.09% |       0.1077 |          0.0656 |
|      55 |         650 |       00:00:00 |       96.09% |       0.0680 |          0.0590 |
|      59 |         700 |       00:00:00 |       96.09% |       0.0844 |          0.0590 |
|      63 |         750 |       00:00:00 |       97.66% |       0.0547 |          0.0531 |
|      67 |         800 |       00:00:00 |       94.53% |       0.0983 |          0.0531 |
|      71 |         850 |       00:00:00 |       94.53% |       0.0968 |          0.0478 |
|      75 |         900 |       00:00:01 |       96.88% |       0.0699 |          0.0478 |
|      80 |         950 |       00:00:01 |       96.88% |       0.0542 |          0.0478 |
|      84 |        1000 |       00:00:01 |       97.66% |       0.0560 |          0.0430 |
|      88 |        1050 |       00:00:01 |       98.44% |       0.0380 |          0.0430 |
|      92 |        1100 |       00:00:01 |       96.09% |       0.0753 |          0.0387 |
|      96 |        1150 |       00:00:01 |       96.09% |       0.0877 |          0.0387 |
|     100 |        1200 |       00:00:01 |       96.88% |       0.0611 |          0.0387 |
|     105 |        1250 |       00:00:01 |       96.88% |       0.0467 |          0.0349 |
|     109 |        1300 |       00:00:01 |       96.09% |       0.0546 |          0.0349 |
|     113 |        1350 |       00:00:01 |       99.22% |       0.0321 |          0.0314 |
|     117 |        1400 |       00:00:01 |       95.31% |       0.0727 |          0.0314 |
|     121 |        1450 |       00:00:01 |       95.31% |       0.0812 |          0.0282 |
|     125 |        1500 |       00:00:01 |       96.88% |       0.0600 |          0.0282 |
|     130 |        1550 |       00:00:01 |       96.88% |       0.0458 |          0.0282 |
|     134 |        1600 |       00:00:01 |       96.88% |       0.0529 |          0.0254 |
|     138 |        1650 |       00:00:01 |       98.44% |       0.0345 |          0.0254 |
|     142 |        1700 |       00:00:01 |       95.31% |       0.0698 |          0.0229 |
|     146 |        1750 |       00:00:01 |       96.09% |       0.0789 |          0.0229 |
|     150 |        1800 |       00:00:01 |       96.88% |       0.0610 |          0.0229 |
|     155 |        1850 |       00:00:01 |       96.88% |       0.0418 |          0.0206 |
|     159 |        1900 |       00:00:02 |       96.88% |       0.0503 |          0.0206 |
|     163 |        1950 |       00:00:02 |       98.44% |       0.0336 |          0.0185 |
|     167 |        2000 |       00:00:02 |       95.31% |       0.0696 |          0.0185 |
|     171 |        2050 |       00:00:02 |       96.09% |       0.0769 |          0.0167 |
|     175 |        2100 |       00:00:02 |       96.88% |       0.0604 |          0.0167 |
|     180 |        2150 |       00:00:02 |       96.88% |       0.0408 |          0.0167 |
|     184 |        2200 |       00:00:02 |       96.88% |       0.0491 |          0.0150 |
|     188 |        2250 |       00:00:02 |       98.44% |       0.0323 |          0.0150 |
